# AUTO-GENERATED from /Users/caulisnomoto/caulis-repo/nimt-detection-service/src/main/java/jp/caulis/nimt/customfunction/CFVar.java
# format: variable|type|api|description
# partialKey=true は prefix_* として出力される

AccountEventHistory|Object|All|イベント履歴
FilteredAccountEventHistory|Object|All|フィルタされたイベント履歴
ForcedRelativeSuspiciousValue1|Boolean|All|該当した検知ルールに危険度1が含まれている場合、true
ForcedRelativeSuspiciousValue2|Boolean|All|該当した検知ルールに危険度2が含まれている場合、true
ForcedRelativeSuspiciousValue3|Boolean|All|該当した検知ルールに危険度3が含まれている場合、true
ForcedRelativeSuspiciousValue4|Boolean|All|該当した検知ルールに危険度4が含まれている場合、true
ForcedRelativeSuspiciousValue5|Boolean|All|該当した検知ルールに危険度5が含まれている場合、true
acceptParams_*|String|All|端末情報。CF変数は端末情報のKey毎に設定される。acceptParams_{端末情報のKey}={端末情報のValue} の形式。
accountCountByCookieOnAllSites|Float|All|今回アクセスの端末が全てのサイト（他事業者含む）でアクセスしている口座数
accountCountByCookieOnThisSite|Float|All|今回アクセスの端末が本サイトでアクセスしている口座数
accountCountByEmailOnAllSites|Float|All|自口座のメールアドレスが全てのサイト（他事業者含む）で登録されている口座数
accountCountByEmailOnThisSite|Float|All|自口座のメールアドレスが本サイトで登録されている口座数
accountCountByNameOnThisSite|Float|All|今回送金名義で本サイトで送金を行った送金口座数
accountCountByPhoneNumberOnAllSites|Float|All|自口座の電話番号が全てのサイト（他事業者含む）で登録されている口座数
accountCountByPhoneNumberOnThisSite|Float|All|自口座の電話番号が本サイトで登録されている口座数
accountCountByRelatesOppositeAccountOnAllSites|Float|All|入出金先（紐付け先）口座が全てのサイト（他事業者含む）で紐付けされている口座数
accountCountByRelatesOppositeAccountOnThisSite|Float|All|入出金先（紐付け先）口座が本サイトで紐付けされている口座数
accountCountByRelatesThisAccountOnAllSites|Float|All|自口座が全てのサイト（他事業者含む）で紐付けされている口座数
accountCountByRelatesThisAccountOnThisSite|Float|All|自口座が本サイトで紐付けされている口座数
accountCountry|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|銀行の国コード
accountHolder|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|口座名義人姓名。
accountHolderFamilyName|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|口座名義の姓。
accountHolderFamilyNameKana|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|口座名義人の姓のふりがな。半角（日本語は半角カタカナ）
accountHolderFirstName|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|口座名義の名。
accountHolderFirstNameKana|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|口座名義人の名のふりがな。半角（日本語は半角カタカナ）
accountHolderIsForeign|Boolean|InformationChange,AddRelatedAccount,DeleteRelatedAccount|口座の持ち主が外国籍かどうか。外国籍の場合はtrue。
accountHolderKana|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|口座名義人姓名のふりがな。半角（日本語は半角カタカナ）。
accountHolderPersonality|String|AddRelatedAccount,DeleteRelatedAccount|口座名義人から判別した法人格の種類。individual: 個人, sole_proprietor: 個人事業主, legal_person: 法人, other: その他
accountIsCorporate|Boolean|InformationChange,AddRelatedAccount,DeleteRelatedAccount|法人名義の口座かどうか。法人の場合true
accountIsOpenedAt|Object|Deposit,Withdrawal,InformationChange|口座開設日時のUNIXタイムスタンプ
accountIsOpenedAtFloat|Float|Deposit,Withdrawal,InformationChange|口座開設日時のUNIXタイムスタンプ
accountIsOpenedAtString|String|Deposit,Withdrawal,InformationChange|口座開設日時の文字列（ISO 8601形式）
accountNumber|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|口座番号。7桁の数字。
accountType|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|口座種別
additionalParams_*|Object|All|入出金検知サービスの導入事業者が独自に指定するキーバリュー形式のパラメータ。$additionalParams_{key}のようにキーを指定したCF変数で利用すること。
addressChangeCountLast10Mins|Float|All|過去10分間の住所変更回数
addressChangeCountLast1Day|Float|All|過去1日の住所変更回数
addressChangeCountLast1Hour|Float|All|過去1時間の住所変更回数
addressChangeCountLast1Month|Float|All|過去1か月の住所変更回数
addressChangeCountLast1Week|Float|All|過去1週間の住所変更回数
addressChangeCountLast6Hour|Float|All|過去6時間の住所変更回数
addressLatestChangeTime|Object|All|住所変更の直近の変更日時を表すUNIXタイムスタンプ
addressLatestChangeTimeFloat|Float|All|住所変更の直近の変更日時を表すUNIXタイムスタンプ
amount|Float|Deposit,Withdrawal|取引金額(※手数料は含めない)。
approvedHistoryInitTimestampFloat|Float|Withdrawal|仕向元先組み合わせでの初回正常送金履歴のUNIXタイムスタンプ (long→floatの変換による数分の誤差が発生する)
approvedHistoryTotalAmount|Float|Withdrawal|仕向元先組み合わせでの正常送金履歴の総金額
approvedHistoryTotalCount|Float|Withdrawal|仕向元先組み合わせでの正常送金履歴の総件数
associatedAccountAccountHash|String|All|ユーザの口座のハッシュ値
associatedAccountEmailHash|String|All|ユーザの口座の登録メールアドレス
associatedAccountPhoneNumberHash|String|All|ユーザの口座の登録電話番号
balance|Float|Deposit,Withdrawal|取引前の残高(入金APIでは仕向先、出金APIでは仕向元)
bankCode|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|銀行コード
branchCode|String|InformationChange,AddRelatedAccount,DeleteRelatedAccount|支店コード。一般的には3桁の数字
browser|String|All|ユーザエージェントから導出したブラウザ
browserGroup|String|All|ユーザエージェントから導出したブラウザグループ
caulisCookie|String|All|CaulisCookieの値
changedItemsThisTimeAddress|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいて住所に変更があったかを示す。変更があった場合、true
changedItemsThisTimeEmailPrimary|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいてメールアドレスに変更があったかを示す。変更があった場合、true
changedItemsThisTimeEmailSub1|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいてメールアドレス（サブ１）に変更があったかを示す。変更があった場合、true
changedItemsThisTimeEmailSub2|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいてメールアドレス（サブ２）に変更があったかを示す。変更があった場合、true
changedItemsThisTimeEmailSub3|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいてメールアドレス（サブ３）に変更があったかを示す。変更があった場合、true
changedItemsThisTimeLoginIdChange|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいてログインIDの変更があったかを示す。変更があった場合、true
changedItemsThisTimeLoginPasswordChange|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいてログインパスワードに変更があったかを示す。変更があった場合、true
changedItemsThisTimeLoginPasswordReset|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいてログインパスワードの再設定があったかを示す。再設定があった場合、true
changedItemsThisTimePhoneNumberPrimary|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいて電話番号に変更があったかを示す。変更があった場合、true
changedItemsThisTimePhoneNumberSecondary|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいて電話番号（副）に変更があったかを示す。変更があった場合、true
changedItemsThisTimePhoneNumberTertiary|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいて電話番号（副々）に変更があったかを示す。変更があった場合、true
changedItemsThisTimeTransactionPasswordChange|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいて取引パスワードの変更があったかを示す。変更があった場合、true
changedItemsThisTimeTransactionPasswordReset|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいて取引パスワードの再設定があったかを示す。再設定があった場合、true
changedItemsThisTimeTransferLimitChangePerDay|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいて1日あたりの振込限度額に変更があったかを示す。変更があった場合、true
changedItemsThisTimeTransferLimitChangePerTransaction|Boolean|InformationChange|今回の基本情報更新API呼び出しにおいて1回あたりの振込限度額に変更があったかを示す。変更があった場合、true
city|String|All|IPアドレスから導出した都市名
connectionType|String|All|IPアドレスから導出したConnectionType
country|String|All|IPアドレスから導出した国名
countryCode|String|All|IPアドレスから導出した国名2文字(iso3166)
currency|String|Deposit,Withdrawal|取引金額に利用する通貨のアルファベットコード。ISO4217規格。日本円の場合は「JPY」
currentTransferLimitPerDay|Float|InformationChange|1日あたりの振込上限金額: 現在設定している振込限度額
currentTransferLimitPerTransaction|Float|InformationChange|1回あたりの振込上限金額: 現在設定している振込限度額
dataCenterName|String|All|IPアドレスから導出した、一般の方が通常は利用しないデータセンター名
defaultRelativeSuspiciousValue|Float|All|危険度
defaultTransferLimitPerDay|Float|InformationChange|1日あたりの振込上限金額: 金融機関のデフォルト振込限度額
defaultTransferLimitPerTransaction|Float|InformationChange|1回あたりの振込上限金額: 金融機関のデフォルト振込限度額
depositStatsAmountMaxDepositLast10Minutes|Float|All|過去10分間の最大入金金額
depositStatsAmountMaxDepositLast1Day|Float|All|過去1日の最大入金金額
depositStatsAmountMaxDepositLast1Hour|Float|All|過去1時間の最大入金金額
depositStatsAmountMaxDepositLast1Month|Float|All|過去1か月の最大入金金額
depositStatsAmountMaxDepositLast1Week|Float|All|過去1週間の最大入金金額
depositStatsAmountMaxDepositLast6Hour|Float|All|過去6時間の最大入金金額
depositStatsAmountMinDepositLast10Minutes|Float|All|過去10分間の最小入金金額
depositStatsAmountMinDepositLast1Day|Float|All|過去1日の最小入金金額
depositStatsAmountMinDepositLast1Hour|Float|All|過去1時間の最小入金金額
depositStatsAmountMinDepositLast1Month|Float|All|過去1か月の最小入金金額
depositStatsAmountMinDepositLast1Week|Float|All|過去1週間の最小入金金額
depositStatsAmountMinDepositLast6Hour|Float|All|過去6時間の最小入金金額
depositStatsAverageAmount|Float|All|過去の入金平均額
depositStatsAverageAmountLast10Minutes|Float|All|過去10分間の入金平均額
depositStatsAverageAmountLast1Day|Float|All|過去1日の入金平均額
depositStatsAverageAmountLast1Hour|Float|All|過去1時間の入金平均額
depositStatsAverageAmountLast1Month|Float|All|過去1か月の入金平均額
depositStatsAverageAmountLast1Week|Float|All|過去1週間の入金平均額
depositStatsAverageAmountLast6Hour|Float|All|過去6時間の入金平均額
