# AUTO-GENERATED from /Users/caulisnomoto/caulis-repo/nimt-detection-service/src/main/java/jp/caulis/nimt/model/CheckKind.java
# format: variable|api|description

AccessFromDataCenter|All|データセンターからのアクセスを検知
AnonymizingVpn|All|匿名VPN経由アクセスを検知
BlackCaulisCookieInOtherSites|All|端末が他サイトでブラックリスト登録済みである場合に検知
BlackCaulisCookieInThisSite|All|端末が自サイトでブラックリスト登録済みである場合に検知
BlackDestinationAccountNameKanaInOtherSite|{Deposit|仕向先名義人名が他サイトでブラックリスト登録済みである場合に検知
BlackDestinationAccountNameKanaInThisSite|{Deposit|仕向先名義人名が自サイトでブラックリスト登録済みである場合に検知
BlackDestinationBankAccountInOtherSites|{Deposit|送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が他サイトでブラックリスト登録済みである場合に検知
BlackDestinationBankAccountInThisSite|{Deposit|送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が自サイトでブラックリスト登録済みである場合に検知
BlackIPAddressInOtherSites|All|IPアドレスが他サイトでブラックリスト登録済みである場合に検知
BlackIPAddressInThisSite|All|IPアドレスが自サイトでブラックリスト登録済みである場合に検知
BlackRemitterAndRemitteeBankAccountInOtherSite|{Deposit|送金元＋送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）の組み合わせが他サイトでブラックリスト登録済みである場合に検知
BlackRemitterAndRemitteeBankAccountInThisSite|{Deposit|送金元＋送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）の組み合わせが自サイトでブラックリスト登録済みである場合に検知
BlackRemitterNameInOtherSite|{Deposit|振込依頼人名が他サイトでブラックリスト登録済みである場合に検知
BlackRemitterNameInThisSite|{Deposit|振込依頼人名が自サイトでブラックリスト登録済みである場合に検知
BlackSourceAccountNameKanaInOtherSite|{Deposit|仕向元口座名義人名が他サイトでブラックリスト登録済みである場合に検知
BlackSourceAccountNameKanaInThisSite|{Deposit|仕向元口座名義人名が自サイトでブラックリスト登録済みである場合に検知
BlackSourceBankAccountInOtherSites|{Deposit|送金元の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が他サイトでブラックリスト登録済みである場合に検知
BlackSourceBankAccountInThisSite|{Deposit|送金元の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が自サイトでブラックリスト登録済みである場合に検知
BlackUserHashInOtherSites|All|ユーザーハッシュが他サイトでブラックリスト登録済みである場合に検知
BlackUserHashInThisSite|All|ユーザハッシュが自サイトでブラックリスト登録済みである場合に検知
DifferentBankCode|{Deposit|違う銀行間での入出金を検知
DifferentHolderName|{Deposit|仕向元と仕向先の名義人が違う場合を検知
DormantAccount|{Deposit|休眠口座と見られる（3年以内に取引がない）口座の入出金の場合に検知
EmailChanged|{Deposit|振込元のメールアドレスが変更された場合に検知
FirstIPAddress|All|過去の実績から、今回アクセスのIPアドレスが本人にとって初回である場合に検知
FirstPriorityLanguage|All|過去の実績から、今回アクセスの言語が本人にとって初回である場合に検知
FirstRemittee|Withdrawal|過去の実績から、仕向先が初回の場合に検知
FirstRemitter|Deposit|過去の実績から、仕向元が初回の場合に検知
FirstTerminal|All|過去の実績から、今回アクセスの端末が本人にとって初回である場合に検知
FirstUserAgent|All|過去の実績から、今回アクセスのユーザーエージェントが本人にとって初回である場合に検知
FirstWithdrawalByRemitterAccount|Withdrawal|過去の実績から、仕向元口座にとって完全初回の送金の場合に検知
GrayCaulisCookieInOtherSites|All|端末が他サイトでグレーリスト登録済みである場合に検知
GrayCaulisCookieInThisSite|All|端末が自サイトでグレーリスト登録済みである場合に検知
GrayDestinationAccountNameKanaInOtherSite|{Deposit|仕向先名義人名が他サイトでグレーリスト登録済みである場合に検知
GrayDestinationAccountNameKanaInThisSite|{Deposit|仕向先名義人名が自サイトでグレーリスト登録済みである場合に検知
GrayDestinationBankAccountInOtherSites|{Deposit|送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が他サイトでグレーリスト登録済みである場合に検知
GrayDestinationBankAccountInThisSite|{Deposit|送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が自サイトでグレーリスト登録済みである場合に検知
GrayIPAddressInOtherSites|All|IPアドレスが他サイトでグレーリスト登録済みである場合に検知
GrayIPAddressInThisSite|All|IPアドレスが自サイトでグレーリスト登録済みである場合に検知
GrayRemitterAndRemitteeBankAccountInOtherSite|{Deposit|送金元＋送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）の組み合わせが他サイトでグレーリスト登録済みである場合に検知
GrayRemitterAndRemitteeBankAccountInThisSite|{Deposit|送金元＋送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）の組み合わせが自サイトでグレーリスト登録済みである場合に検知
GrayRemitterNameInOtherSite|{Deposit|振込依頼人名が他サイトでグレーリスト登録済みである場合に検知
GrayRemitterNameInThisSite|{Deposit|振込依頼人名が自サイトでグレーリスト登録済みである場合に検知
GraySourceAccountNameKanaInOtherSite|{Deposit|仕向元口座名義人名が他サイトでグレーリスト登録済みである場合に検知
GraySourceAccountNameKanaInThisSite|{Deposit|仕向元口座名義人名が自サイトでグレーリスト登録済みである場合に検知
GraySourceBankAccountInOtherSites|{Deposit|送金元の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が他サイトでグレーリスト登録済みである場合に検知
GraySourceBankAccountInThisSite|{Deposit|送金元の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が自サイトでグレーリスト登録済みである場合に検知
GrayUserHashInOtherSites|All|ユーザーハッシュが他サイトでグレーリスト登録済みである場合に検知
GrayUserHashInThisSite|All|ユーザーハッシュが自サイトでグレーリスト登録済みである場合に検知
ImmediateTransactionAfterAccountChange|{Deposit|紐づきを更新してから24時間以内の入出金の場合に検知
ImmediateTransactionAfterInfoChange|{Deposit|基本情報を更新してから24時間以内の入出金の場合に検知
ImmediateTransactionAfterOpen|{Deposit|口座を開設して24時間以内の入出金の場合に検知
